№;"""Мастер и Маргарита"" (М.А. Булгаков)";"""Отцы и дети"" (И.С. Тургенев)";"""Анна Каренина"" (Л.Н. Толстой)";"""Гроза"" (А.Н. Островский)";"""Вишнёвый сад"" (А.П. Чехов)";"""Горе от ума"" (А.С. Грибоедов)";"""Евгений Онегин"" (А.С. Пушкин)";"""Преступление и наказание"" (Ф.М. Достоевский)";"""Дубровский"" (А.С. Пушкин)";"""Война и мир"" (Л.Н. Толстой)"
Студент 1;10;10;10;10;10;10;10;10;10;10
Студент 2;10;7;5;5;9;9;8;10;7;3
Студент 3;7;5;6;5;5;6;8;6;6;4
Студент 4;8;7;4;0;3;10;10;10;7;3
Студент 5;8;10;7;4;4;5;5;6;7;1
Студент 6;5;7;3;7;5;7;8;9;6;10
Студент 7;4;5;4;7;8;8;8;10;4;5
Студент 8;10;9;;8;10;10;10;10;8;10
Студент 9;10;4;7;5;8;10;7;10;6;8
Студент 10;3;6;8;;;8;;1;;2
Студент 11;6;7;9;3;7;2;8;5;10;5
Студент 12;8;;4;9;10;;;3;1;9
Студент 13;6;10;3;9;4;5;7;8;8;7
Студент 14;10;5;6;3;10;10;1;10;7;8
Студент 15;7;4;5;6;7;6;8;9;9;3
Студент 16;7;2;10;10;10;10;0;5;9;5
